source,target,country,meaning,source_word
He replaced the old faucet.,He replaced the old tap.,British,A device by which a flow of liquid or gas from a pipe can be controlled,faucet
The faucet is in the kitchen.,The tap is in the kitchen.,British,A device by which a flow of liquid or gas from a pipe can be controlled,faucet
suspenders,braces,British,A type of strap worn over the shoulders to hold up trousers,suspenders
I need to find my suspenders to wear with these trousers.,I need to find my braces to wear with these trousers.,British,A type of strap worn over the shoulders to hold up trousers,suspenders
He lost his suspenders during the trip.,He lost his braces during the trip.,British,A type of strap worn over the shoulders to hold up trousers,suspenders
She wears suspenders instead of a belt.,She wears braces instead of a belt.,British,A type of strap worn over the shoulders to hold up trousers,suspenders
My suspenders broke while I was walking.,My braces broke while I was walking.,British,A type of strap worn over the shoulders to hold up trousers,suspenders
closet,wardrobe,British,A small room or space used for storing clothes,closet
She kept all her clothes in the closet.,She kept all her clothes in the wardrobe.,British,A small room or space used for storing clothes,closet
I need to clean out my closet.,I need to clean out my wardrobe.,British,A small room or space used for storing clothes,closet
The closet is full of old jackets.,The wardrobe is full of old jackets.,British,A small room or space used for storing clothes,closet
My closet is too small for all my shoes.,My wardrobe is too small for all my shoes.,British,A small room or space used for storing clothes,closet
potato chips,crisps,British,Thin slices of potato that are fried and salted,potato chips
I love to eat potato chips with my sandwich.,I love to eat crisps with my sandwich.,British,Thin slices of potato that are fried and salted,potato chips
He offered me a bag of potato chips.,He offered me a bag of crisps.,British,Thin slices of potato that are fried and salted,potato chips
Do you want some potato chips for snack?,Do you want some crisps for snack?,British,Thin slices of potato that are fried and salted,potato chips
We bought a large bag of potato chips.,We bought a large bag of crisps.,British,Thin slices of potato that are fried and salted,potato chips
flash drive,USB stick,British,"A small, portable storage device that plugs into a USB port",flash drive
I need to save this file to my flash drive.,I need to save this file to my USB stick.,British,"A small, portable storage device that plugs into a USB port",flash drive
He uses a flash drive to transfer files between computers.,He uses a USB stick to transfer files between computers.,British,"A small, portable storage device that plugs into a USB port",flash drive
I forgot my flash drive at home.,I forgot my USB stick at home.,British,"A small, portable storage device that plugs into a USB port",flash drive
Do you have a flash drive I can borrow?,Do you have a USB stick I can borrow?,British,"A small, portable storage device that plugs into a USB port",flash drive
soda,fizzy drink,British,"A carbonated beverage, typically sweetened",soda
He ordered a can of soda with his meal.,He ordered a can of fizzy drink with his meal.,British,"A carbonated beverage, typically sweetened",soda
I love to drink soda on hot days.,I love to drink fizzy drink on hot days.,British,"A carbonated beverage, typically sweetened",soda
The kids are having soda at the party.,The kids are having fizzy drink at the party.,British,"A carbonated beverage, typically sweetened",soda
Do you want a soda or water?,Do you want a fizzy drink or water?,British,"A carbonated beverage, typically sweetened",soda
cell phone,mobile phone,British,A portable telephone that uses cellular networks,cell phone
I just bought a new cell phone.,I just bought a new mobile phone.,British,A portable telephone that uses cellular networks,cell phone
Her cell phone has a cracked screen.,Her mobile phone has a cracked screen.,British,A portable telephone that uses cellular networks,cell phone
He forgot to charge his cell phone.,He forgot to charge his mobile phone.,British,A portable telephone that uses cellular networks,cell phone
Can I borrow your cell phone?,Can I borrow your mobile phone?,British,A portable telephone that uses cellular networks,cell phone
trash bag,bin bag,British,A bag used for collecting waste or rubbish,trash bag
I need to take out the trash bag.,I need to take out the bin bag.,British,A bag used for collecting waste or rubbish,trash bag
The trash bag is full of old newspapers.,The bin bag is full of old newspapers.,British,A bag used for collecting waste or rubbish,trash bag
She tied the trash bag and left it outside.,She tied the bin bag and left it outside.,British,A bag used for collecting waste or rubbish,trash bag
I can't find a trash bag for the kitchen.,I can't find a bin bag for the kitchen.,British,A bag used for collecting waste or rubbish,trash bag
dessert,pudding,British,The sweet course typically eaten at the end of a meal,dessert
Iâll have chocolate cake for dessert.,Iâll have chocolate cake for pudding.,British,The sweet course typically eaten at the end of a meal,dessert
"For dessert, we had ice cream.","For pudding, we had ice cream.",British,The sweet course typically eaten at the end of a meal,dessert
They served a delicious dessert after dinner.,They served a delicious pudding after dinner.,British,The sweet course typically eaten at the end of a meal,dessert
She loves having dessert with her coffee.,She loves having pudding with her coffee.,British,The sweet course typically eaten at the end of a meal,dessert
crib,cot,British,A small bed for a baby or young child,crib
The baby slept peacefully in the crib.,The baby slept peacefully in the cot.,British,A small bed for a baby or young child,crib
We need to buy a crib before the baby arrives.,We need to buy a cot before the baby arrives.,British,A small bed for a baby or young child,crib
She placed the baby gently into the crib.,She placed the baby gently into the cot.,British,A small bed for a baby or young child,crib
The crib is made of wood and has a soft mattress.,The cot is made of wood and has a soft mattress.,British,A small bed for a baby or young child,crib
